representative protein;other proteins in group;description;sequence length;monoisotopic mass;% of protein sequence covered by peptides;peptides count;intensity in 2019-019-04 HYE Mix A 1;intensity in 2019-019-04 HYE Mix A 2;intensity in 2019-019-04 HYE Mix A 3;intensity in 2019-019-05 HYE Mix B 1;intensity in 2019-019-05 HYE Mix B 2;intensity in 2019-019-05 HYE Mix B 3
TPX_ECOLI;;Thiol peroxidase OS=Escherichia coli (strain K12) OX=83333 GN=tpx PE=1 SV=2;168;17824.216;94.05;8;1474408;1508952;1490553;3037470;2967697;2866621
C8Z985_YEAS8;;Glyceraldehyde-3-phosphate dehydrogenase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_5204g PE=3 SV=1;332;35711.338;87.05;23;4597162;4641094;4433823;3051008;3048614;3162563
IF5A1_HUMAN;;Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=2;154;16821.405;86.36;9;1778574;1797052;1780696;1628248;1690019;1750165
MDH_ECOLI;;Malate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=mdh PE=1 SV=1;312;32317.215;86.22;17;2034424;2322338;2398961;4946145;5615396;5047449
PGK_ECOLI;;Phosphoglycerate kinase OS=Escherichia coli (strain K12) OX=83333 GN=pgk PE=1 SV=2;387;41092.635;85.53;25;4241347;4242810;4330854;6947918;7256735;7421141
RS5_ECOLI;;30S ribosomal protein S5 OS=Escherichia coli (strain K12) OX=83333 GN=rpsE PE=1 SV=2;167;17592.328;83.83;12;794278;826514;866477;1995393;2371785;2287716
HCD2_HUMAN;;3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3;261;26906.113;82.76;12;1044477;1119620;1041486;1078582;1091531;1056591
RL9_ECOLI;;50S ribosomal protein L9 OS=Escherichia coli (strain K12) OX=83333 GN=rplI PE=1 SV=1;149;15759.48;82.55;12;650733;634755;580649;2116760;1754714;1786035
EFTU1_ECOLI;EFTU2_ECOLI EFTU1_ECOLI;Elongation factor Tu 1 OS=Escherichia coli (strain K12) OX=83333 GN=tufA PE=1 SV=1;394;43256.314;82.23;26;6133221;6388292;5342463;10466177;11002686;10753253
DPS_ECOLI;;DNA protection during starvation protein OS=Escherichia coli (strain K12) OX=83333 GN=dps PE=1 SV=2;167;18683.737;82.04;12;177474;211556;235733;872351;975437;945034
DEOD_ECOLI;;Purine nucleoside phosphorylase DeoD-type OS=Escherichia coli (strain K12) OX=83333 GN=deoD PE=1 SV=2;239;25933.03;81.17;15;284723;252727;283218;1106076;1101087;1123619
CYSK_ECOLI;;Cysteine synthase A OS=Escherichia coli (strain K12) OX=83333 GN=cysK PE=1 SV=2;323;34468.298;81.11;17;733437;797844;771306;2680302;2588412;2464850
G3P1_ECOLI;;Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) OX=83333 GN=gapA PE=1 SV=2;331;35510.242;80.06;26;3091365;3214695;3117576;5502300;5976969;6364038
GSTM3_HUMAN;;Glutathione S-transferase Mu 3 OS=Homo sapiens OX=9606 GN=GSTM3 PE=1 SV=3;225;26542.138;80.0;17;842286;926192;937145;806368;749026;714111
ENOA_HUMAN;;Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2;434;47139.319;79.95;32;9104833;10460546;10763772;9353136;9565660;9335718
6PGD_ECOLI;;6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) OX=83333 GN=gnd PE=1 SV=2;468;51449.312;79.91;27;988538;987101;971032;3224256;3031964;2985949
C8Z7S0_YEAS8;;Hsp12p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1F14_0727g PE=4 SV=1;109;11689.654;79.82;11;3590006;3650811;3998725;2352764;2915291;2891803
C8ZBG4_YEAS8;;Glyceraldehyde-3-phosphate dehydrogenase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1J11_2685g PE=3 SV=1;332;35824.416;79.82;22;1800277;1703560;1657446;875441;929622;835543
RLA2_HUMAN;;60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1;115;11657.847;79.13;6;625907;696369;591898;580873;604150;528804
USPG_ECOLI;;Universal stress protein UP12 OS=Escherichia coli (strain K12) OX=83333 GN=uspG PE=1 SV=2;142;15925.286;78.17;7;340913;416027;427556;1003503;1052243;1079293
SH3L1_HUMAN;;SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens OX=9606 GN=SH3BGRL PE=1 SV=1;114;12766.378;78.07;6;109080;104516;114543;102158;108385;112574
BASP1_HUMAN;;Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2;227;22680.012;77.97;12;1183975;1216081;1248421;1408183;1207668;1297626
TNAA_ECOLI;;Tryptophanase OS=Escherichia coli (strain K12) OX=83333 GN=tnaA PE=1 SV=1;471;52739.59;77.28;31;3010096;3198636;3104690;8949237;8773789;8824010
PARK7_HUMAN;;Protein/nucleic acid deglycase DJ-1 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2;189;19878.488;77.25;14;1868882;1793181;1804465;1557855;1822926;1854905
THIO_HUMAN;;Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3;105;11729.742;77.14;7;1396896;1406315;1340568;1279671;1333153;1433041
TOM22_HUMAN;;Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens OX=9606 GN=TOMM22 PE=1 SV=3;142;15511.785;76.76;6;268398;293884;277231;252779;294602;281975
EFTS_ECOLI;;Elongation factor Ts OS=Escherichia coli (strain K12) OX=83333 GN=tsf PE=1 SV=2;283;30403.779;76.68;20;964527;929181;1039203;3032765;2982623;3087421
CALM1_HUMAN;CALM2_HUMAN CALM3_HUMAN CALM1_HUMAN;Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1;149;16826.834;76.51;8;880651;973816;622329;998272;969025;970809
BAF_HUMAN;;Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1;89;10052.024;76.4;8;691496;694777;711906;729856;676671;724763
LEG1_HUMAN;;Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2;135;14706.199;76.3;8;1503157;1358278;1544018;1430987;1506387;1258005
CH60_ECOLI;;60 kDa chaperonin OS=Escherichia coli (strain K12) OX=83333 GN=groL PE=1 SV=2;548;57292.687;76.28;33;2352975;2754965;2762236;7619776;8062347;7905709
C8Z4W9_YEAS8;;Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_2949g PE=3 SV=1;248;26778.964;76.21;12;4105448;4047781;4203338;2487318;2510727;2500345
ATPB_HUMAN;;ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3;529;56524.606;76.18;26;4965714;4725797;4732351;4667726;4580987;4584244
ENO_ECOLI;;Enolase OS=Escherichia coli (strain K12) OX=83333 GN=eno PE=1 SV=2;432;45626.422;75.69;24;1654065;1844292;1935913;4583421;4920120;4903286
COF1_HUMAN;;Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3;166;18490.658;75.3;15;2853004;3161845;2844887;2795743;2765002;2888896
PPIA_HUMAN;;Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2;165;18000.885;75.15;13;3633883;3682684;3667525;3648807;3685138;3946769
YBAY_ECOLI;;Uncharacterized lipoprotein YbaY OS=Escherichia coli (strain K12) OX=83333 GN=ybaY PE=1 SV=1;190;19419.264;74.74;5;138164;147180;145900;602907;575857;625604
YODD_ECOLI;;Uncharacterized protein YodD OS=Escherichia coli (strain K12) OX=83333 GN=yodD PE=4 SV=1;75;8574.097;74.67;3;34111;37229;42711;163989;159862;181709
OSMY_ECOLI;;Osmotically-inducible protein Y OS=Escherichia coli (strain K12) OX=83333 GN=osmY PE=1 SV=1;201;21060.871;74.63;11;640609;475398;492943;1850945;1900369;1839298
AK1C2_HUMAN;;Aldo-keto reductase family 1 member C2 OS=Homo sapiens OX=9606 GN=AKR1C2 PE=1 SV=3;323;36711.96;74.61;20;2298903;2235606;2123671;1988596;2092277;2076827
TPIS_HUMAN;;Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3;286;30771.696;74.48;16;4205076;4653280;4684239;4489165;4373042;4155406
HNS_ECOLI;;DNA-binding protein H-NS OS=Escherichia coli (strain K12) OX=83333 GN=hns PE=1 SV=2;137;15530.035;74.45;13;1318809;1325209;1330953;3008755;3169058;3137066
DGAL_ECOLI;;D-galactose-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=mglB PE=1 SV=1;332;35690.368;74.4;22;3730510;3421628;3531955;7088691;7344400;7166605
AHPC_ECOLI;;Alkyl hydroperoxide reductase C OS=Escherichia coli (strain K12) OX=83333 GN=ahpC PE=1 SV=2;187;20748.412;74.33;11;1712599;1644324;1829790;3443860;3967952;3954298
C8Z3F1_YEAS8;;Pyruvate kinase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1A20_0353g PE=3 SV=1;500;54510.343;74.2;32;5528525;5395224;5691609;3487285;3416556;3374295
ACEA_ECOLI;;Isocitrate lyase OS=Escherichia coli (strain K12) OX=83333 GN=aceA PE=1 SV=1;434;47491.588;74.19;21;3006512;3107696;3043096;7734065;7367629;7681154
ALDOA_HUMAN;;Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2;364;39395.306;74.18;22;4730311;5118830;4897522;4762862;4679792;4778457
1433E_HUMAN;;14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1;255;29155.416;74.12;19;3031434;3222080;2671200;2995252;2999012;2660462
TBA1B_HUMAN;;Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1;451;50119.605;73.84;26;2086074;2493238;2163355;1940025;2082626;2365947
PRDX2_HUMAN;;Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5;198;21878.238;73.74;14;1601133;1706279;1737684;1605478;1674895;1755085
TBA1C_HUMAN;;Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1;449;49863.462;73.72;26;3263283;3748685;3086836;3239577;3892974;3673887
ALKH_ECOLI;;KHG/KDPG aldolase OS=Escherichia coli (strain K12) OX=83333 GN=eda PE=1 SV=1;213;22269.9;73.71;9;272882;265054;239828;999517;1013972;1064065
G3P_HUMAN;;Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3;335;36030.398;73.43;20;7233380;7270771;7777298;7457574;7804996;7483258
CALR_HUMAN;;Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1;417;48111.825;72.9;23;3418679;3563221;3511772;3879611;3773309;3708403
RL23_HUMAN;;60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1;140;14856.062;72.86;9;1748955;1759190;1779868;1763196;1685867;1678899
MRP_HUMAN;;MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2;195;19517.231;72.31;6;136786;148538;151549;104716;108901;101031
RAB14_HUMAN;;Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4;215;23881.928;72.09;12;446853;464210;489655;431035;458741;437375
COTL1_HUMAN;;Coactosin-like protein OS=Homo sapiens OX=9606 GN=COTL1 PE=1 SV=3;142;15935.035;71.83;9;321400;332934;334634;312645;321577;317005
RPOA_ECOLI;;DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=rpoA PE=1 SV=1;329;36489.149;71.73;18;711815;733770;778718;2423062;2686670;2690605
SUCC_ECOLI;;Succinate--CoA ligase [ADP-forming] subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=sucC PE=1 SV=1;388;41366.653;71.65;23;870756;878395;866915;3338186;3215386;3366509
RBSB_ECOLI;;Ribose import binding protein RbsB OS=Escherichia coli (strain K12) OX=83333 GN=rbsB PE=1 SV=1;296;30931.377;71.62;16;2329494;2271540;2120731;4911523;4726714;4866580
THIO_ECOLI;;Thioredoxin 1 OS=Escherichia coli (strain K12) OX=83333 GN=trxA PE=1 SV=2;109;11799.111;71.56;6;150580;92361;164742;666436;636955;661160
CH60_HUMAN;;60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2;573;61016.382;71.38;36;12999692;12780599;13201020;12186372;12932258;12287278
ACTB_HUMAN;;Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1;375;41709.73;71.2;21;5576698;5766413;7162871;6420823;5907011;7225611
SDHB_ECOLI;;Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) OX=83333 GN=sdhB PE=1 SV=1;238;26752.245;71.01;16;507063;492816;509535;1643338;1519398;1590625
C8Z975_YEAS8;;Rnr4p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_5072g PE=4 SV=1;345;40058.84;71.01;25;4723683;4695084;4709787;2775507;2769419;2817798
PDIA1_HUMAN;;Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3;508;57080.673;70.87;32;3302585;3352835;3583713;2997363;3307689;3313169
ANXA2_HUMAN;;Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;339;38579.815;70.8;25;6634031;6720573;6179243;6527903;6717137;5900286
TBA1A_HUMAN;;Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1;451;50103.61;70.73;25;1978177;2310977;2037771;1830029;1965175;2250346
C8ZIF6_YEAS8;;Gre1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_0573g PE=4 SV=1;167;18926.441;70.66;7;626844;577040;597404;258855;241819;236236
RS2_ECOLI;;30S ribosomal protein S2 OS=Escherichia coli (strain K12) OX=83333 GN=rpsB PE=1 SV=2;241;26726.806;70.54;14;692549;778164;852634;2603418;2586899;2657553
RL3_ECOLI;;50S ribosomal protein L3 OS=Escherichia coli (strain K12) OX=83333 GN=rplC PE=1 SV=1;209;22229.845;70.33;13;433180;467187;515667;1411503;1640263;1577217
RL12_HUMAN;;60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1;165;17807.54;70.3;10;1417562;1614216;1558055;1348541;1455810;1673858
ATPB_ECOLI;;ATP synthase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=atpD PE=1 SV=2;460;50293.831;70.22;22;1194979;1236786;1215495;3789569;4390249;3837074
PRDX6_HUMAN;;Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3;224;25019.19;70.09;16;2559554;2628685;2491152;2539915;2635769;2355277
PGAM1_HUMAN;;Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2;254;28785.835;70.08;14;1484124;1625175;1090620;1752692;1596468;1298805
C8ZHK6_YEAS8;;Zeo1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_0584g PE=4 SV=1;113;12611.507;69.91;12;1653682;1585474;1594431;856266;986524;840127
FABP5_HUMAN;;Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3;135;15154.551;69.63;9;591831;594635;577335;620056;640811;622180
FSCN1_HUMAN;;Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3;493;54496.052;69.17;27;2554780;2230061;2511328;2610083;2627724;2611186
GSTP1_HUMAN;;Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2;210;23341.023;69.05;11;1863588;1810527;1768527;1743799;1763921;1825355
GLTI_ECOLI;;Glutamate/aspartate import solute-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=gltI PE=1 SV=2;302;33399.177;68.87;17;1205527;1178857;1233625;2960313;3034518;3043027
MYL6_HUMAN;;Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2;151;16919.133;68.87;9;877165;811872;845020;1149420;842236;878713
TKT_HUMAN;;Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3;623;67834.725;68.86;33;7815062;7781877;8276741;7797495;7961766;8254376
SDHA_ECOLI;;Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) OX=83333 GN=sdhA PE=1 SV=1;588;64381.099;68.71;27;1234495;1421326;1424927;4162495;4452300;4278537
C8ZCQ6_YEAS8;;Pck1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1K5_3664g PE=3 SV=1;549;60944.392;68.67;26;3504024;3559613;3660607;2046585;1966328;2035336
LDHA_HUMAN;;L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2;332;36665.361;68.67;25;4047524;4001339;4052608;3677374;4027790;4174985
FTSZ_ECOLI;;Cell division protein FtsZ OS=Escherichia coli (strain K12) OX=83333 GN=ftsZ PE=1 SV=1;383;40298.57;68.41;15;82368;103524;105088;526409;519634;481390
YAGE_ECOLI;;Putative 2-dehydro-3-deoxy-D-gluconate aldolase YagE OS=Escherichia coli (strain K12) OX=83333 GN=yagE PE=1 SV=2;302;32510.045;68.21;14;809816;794290;808416;2238164;2246182;2294439
C8Z5U7_YEAS8;;Rpp2bp OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_6832g PE=3 SV=1;110;11043.377;68.18;5;421452;412442;374246;234019;439251;236110
RAB1B_HUMAN;;Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1;201;22157.229;68.16;11;940594;881123;900583;904003;797202;847180
C8Z7K1_YEAS8;;Bmh1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1E8_3290g PE=3 SV=1;267;30072.795;68.16;15;1196248;1305749;1227334;665679;617419;657903
TALB_ECOLI;;Transaldolase B OS=Escherichia coli (strain K12) OX=83333 GN=talB PE=1 SV=2;317;35197.32;67.82;18;1095907;1135703;1093292;3123616;3217436;3303140
